Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Genre_Group
Run Lola Run,7267324,14533173,NA,1750000,Jun 18 1999,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,NA,6,91,Thriller/Suspense
Revolution#9,9118,9118,NA,350000,Nov 15 2002,NA,NA,NA,NA,Thriller/Suspense,NA,NA,NA,7.3,252,Thriller/Suspense
The River Wild,46815000,94215000,NA,45000000,Sep 30 1994,PG-13,NA,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56,6.2,14285,Action
Se7en,100125643,328125643,NA,30000000,Sep 22 1995,R,NA,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,NA,8.7,278918,Thriller/Suspense
Safe Men,21210,21210,NA,1000000,Aug 07 1998,R,NA,October Films,NA,NA,NA,NA,58,5.9,1743,Other
Secrets & Lies,13417292,13417292,NA,4500000,Sep 28 1996,R,NA,October Films,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94,7.9,14364,Drama
Sgt. Bilko,30356589,37956589,NA,39000000,Mar 29 1996,PG,93,Universal,Based on TV,Comedy,Contemporary Fiction,NA,33,5.2,9693,Comedy
Sabrina,53458319,87100000,NA,58000000,Dec 15 1995,PG,NA,Paramount Pictures,Remake,Romantic Comedy,Contemporary Fiction,Sydney Pollack,61,6,15749,Romantic Comedy
Subway,390659,1663296,NA,2000000,Nov 06 1985,NA,NA,Island/Alive,Original Screenplay,Drama,Contemporary Fiction,Luc Besson,86,6.2,5904,Drama
School Daze,14545844,14545844,NA,6000000,Feb 12 1988,NA,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,58,5.3,2667,Drama
Scarface,44942821,44942821,15386092,25000000,Dec 09 1983,Not Rated,NA,Universal,Remake,Drama,Historical Fiction,Brian De Palma,88,8.2,152262,Drama
Schindler's List,96067179,321200000,NA,25000000,Dec 15 1993,R,NA,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97,8.9,276283,Drama
A Streetcar Named Desire,8000000,8000000,NA,1800000,Sep 18 1951,NA,NA,Warner Bros.,Based on Play,NA,NA,Elia Kazan,NA,8.1,33781,Other
Shadow Conspiracy,2154540,2154540,NA,45000000,Jan 31 1997,R,NA,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,George P. Cosmatos,NA,4.7,2427,Thriller/Suspense
Short Cut to Nirvana: Kumbh Mela,381225,439651,NA,200000,Oct 22 2004,Not Rated,NA,Mela Films,Based on Real Life Events,Documentary,Factual,NA,75,6.9,105,Other
Spartacus,30000000,60000000,NA,12000000,Oct 07 1960,NA,NA,Universal,Based on Book/Short Story,Action,Dramatization,Stanley Kubrick,96,8,50856,Action
Sunday,410919,450349,NA,450000,Aug 22 1997,NA,NA,NA,NA,Drama,NA,NA,79,6.9,436,Drama
She Done Him Wrong,2000000,2000000,NA,200000,Feb 09 2033,NA,NA,NA,NA,NA,NA,NA,100,6.7,1795,Other
"Secret, The",0,0,65505095,3500000,Nov 07 2006,Not Rated,NA,NA,NA,Documentary,NA,NA,NA,NA,NA,Other
Sea Rex 3D: Journey to a Prehistoric World,0,0,NA,5000000,Dec 31 1969,NA,NA,3D Entertainment,NA,NA,NA,NA,NA,NA,NA,Other
State Fair,3500000,3500000,NA,4500000,Mar 09 1962,NA,NA,NA,NA,NA,NA,NA,14,5.7,436,Other
Sticky Fingers of Time,18195,20628,NA,250000,Jan 08 1999,NA,NA,Strand,NA,Thriller/Suspense,NA,NA,NA,NA,NA,Thriller/Suspense
Stargate - The Ark of Truth,0,0,8962832,7000000,Mar 11 2008,NA,NA,NA,Based on TV,Action,Science Fiction,NA,NA,NA,NA,Action
She's Gotta Have It,7137502,7137502,NA,175000,Aug 08 1986,NA,NA,Island,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,93,6.2,2594,Comedy
Stargate,71565669,196565669,NA,55000000,Oct 28 1994,PG-13,NA,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,46,6.7,47174,Action
The Shadow,31835600,31835600,NA,40000000,Jul 01 1994,PG-13,NA,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34,5.6,9530,Action
Show Boat,11000000,11000000,NA,2300000,Sep 24 1951,NA,NA,NA,NA,NA,NA,NA,89,6.9,1788,Other
Shadowlands,25842377,25842377,NA,22000000,Dec 29 1993,R,NA,Savoy,Based on Play,Drama,Dramatization,Sir Richard Attenborough,96,7.4,7689,Drama
Shanghai Surprise,2315000,2315000,NA,17000000,Aug 29 1986,NA,NA,MGM,NA,NA,NA,NA,14,2.6,2591,Other
Shalako,2620000,2620000,NA,1455000,Dec 31 1967,NA,NA,NA,NA,NA,NA,NA,NA,5.3,1090,Other
Sheena,5778353,5778353,NA,25000000,Aug 17 1984,NA,NA,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Contemporary Fiction,John Guillermin,38,4.3,1598,Adventure
Shine,35811509,35811509,NA,5500000,Nov 22 1996,PG-13,105,Fine Line,Based on Real Life Events,Drama,Dramatization,Scott Hicks,90,7.6,22439,Drama
The Shining,44017374,44017374,NA,19000000,May 23 1980,NA,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87,8.5,177762,Horror
Haakon Haakonsen,15024232,15024232,NA,8500000,Mar 01 1991,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,NA,NA,6.4,1125,Adventure
Ishtar,14375181,14375181,NA,40000000,May 15 1987,NA,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,19,3.7,6094,Comedy
Showgirls,20254932,20254932,NA,40000000,Sep 22 1995,NC-17,NA,MGM,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,12,4.1,27004,Drama
The Shawshank Redemption,28241469,28241469,NA,25000000,Sep 23 1994,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88,9.2,519541,Drama
Silver Bullet,10803211,10803211,NA,7000000,Oct 11 1985,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,50,5.9,6387,Horror
Side Effects,44701,44701,NA,200000,Sep 09 2005,R,NA,Sky Island,Original Screenplay,Romantic Comedy,NA,NA,11,NA,NA,Romantic Comedy
Set It Off,36049108,36049108,NA,9000000,Nov 06 1996,R,120,New Line,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61,6.3,4570,Drama
The Silence of the Lambs,130726716,275726716,NA,20000000,Feb 14 1991,NA,NA,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96,8.7,244856,Thriller/Suspense
Silver Medalist,0,0,NA,2600000,Feb 29 2008,NA,NA,NA,Original Screenplay,Black Comedy,Contemporary Fiction,NA,NA,NA,NA,Other
Silent Trigger,76382,76382,NA,15000000,Jun 26 1996,NA,NA,NA,NA,NA,NA,Russell Mulcahy,NA,5.2,1364,Other
Thinner,15171475,15171475,NA,14000000,Oct 25 1996,R,93,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,18,5.3,7888,Horror
Sling Blade,24475416,34175000,NA,4833610,Nov 20 1996,R,133,Miramax,Based on Short Film,Drama,Contemporary Fiction,NA,96,8,41785,Drama
Slacker,1227508,1227508,NA,23000,Aug 01 1991,NA,NA,NA,NA,NA,NA,Richard Linklater,83,6.9,5907,Other
Some Like it Hot,25000000,25000000,NA,2883848,Mar 29 1959,NA,NA,NA,NA,NA,NA,Billy Wilder,97,8.3,67157,Other
The Scarlet Letter,10359006,10359006,NA,50000000,Oct 13 1995,R,NA,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,15,4.6,6155,Drama
Silmido,298347,30298347,NA,8500000,Apr 23 2004,Not Rated,NA,Cinema Service,NA,Action,NA,NA,NA,7.1,1724,Action
Sleeper,18344729,18344729,NA,2000000,Dec 17 1973,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,100,7.3,15466,Comedy
Sleepers,53300852,165600852,NA,44000000,Oct 18 1996,R,105,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73,7.3,51874,Drama
The Slaughter Rule,13134,13134,NA,500000,Jan 10 2003,R,NA,NA,NA,NA,NA,NA,NA,6,1136,Other
Solomon and Sheba,11000000,11000000,NA,5000000,Jan 01 1959,NA,NA,NA,NA,NA,NA,King Vidor,NA,6,915,Other
Sur Le Seuil,2013052,2013052,NA,2500000,Oct 03 2003,Not Rated,NA,Alliance,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,6.7,585,Drama
The Usual Suspects,23341568,23341568,NA,6000000,Aug 16 1995,R,NA,Gramercy,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,87,8.7,266890,Drama
Silverado,33200000,33200000,NA,26000000,Jul 10 1985,NA,NA,Sony/Columbia,Original Screenplay,Western,Historical Fiction,Lawrence Kasdan,76,7,14243,Other
Salvador,1500000,1500000,NA,4500000,Apr 23 1986,NA,NA,Hemdale,Original Screenplay,Drama,NA,NA,91,7.5,7797,Drama
"Sex, Lies, and Videotape",24741667,36741667,NA,1200000,Aug 04 1989,NA,NA,Miramax,NA,NA,NA,Steven Soderbergh,97,NA,NA,Other
Show Me,0,0,NA,400000,Nov 04 2005,R,NA,Wolfe Releasing,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,5.9,288,Thriller/Suspense
Simon,4055,4055,NA,1300000,Apr 07 2006,NA,NA,Strand,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,8,4873,Comedy
Super Mario Bros.,20844907,20844907,NA,42000000,May 28 1993,NA,NA,Walt Disney Pictures,Based on Game,Action,Fantasy,NA,NA,3.8,17281,Action
Somewhere in Time,9709597,9709597,NA,5100000,Oct 03 1980,NA,NA,Universal,Based on Book/Short Story,Drama,Fantasy,NA,63,7,8787,Drama
Smoke Signals,6719300,7756617,NA,2000000,Jun 26 1998,PG-13,NA,Miramax,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,86,6.9,5058,Comedy
Serial Mom,7881335,7881335,NA,13000000,Apr 13 1994,R,NA,Savoy,Original Screenplay,Comedy,Contemporary Fiction,John Waters,61,6.4,10999,Comedy
Sommersturm,95204,95204,NA,3000000,Mar 17 2006,R,NA,Regent Releasing,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.6,5251,Drama
Silent Movie,36145695,36145695,NA,4400000,Jun 25 1976,NA,NA,20th Century Fox,Original Screenplay,Comedy,NA,Mel Brooks,89,6.4,6248,Comedy
The Santa Clause,144833357,189800000,NA,22000000,Nov 11 1994,PG,NA,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79,6.1,17773,Comedy
The Singles Ward,1250798,1250798,NA,500000,Feb 01 2002,PG,NA,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,NA,50,5.7,736,Comedy
Sense and Sensibility,42993774,134993774,NA,16500000,Dec 11 1995,PG,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,98,7.7,31279,Drama
Singin' in the Rain,3600000,3600000,NA,2540000,Apr 10 1952,NA,NA,MGM,NA,NA,NA,Stanley Donen,100,8.4,55352,Other
Solitude,6260,6260,NA,200000,Jan 07 2005,Not Rated,NA,Indican Pictures,Original Screenplay,Drama,NA,NA,NA,4.8,82,Drama
The Sound of Music,163214286,286214286,NA,8200000,Apr 01 1965,NA,NA,20th Century Fox,Based on Book/Short Story,Musical,Historical Fiction,Robert Wise,81,6.3,45,Musical
She's the One,9482579,13795053,NA,3500000,Aug 23 1996,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,Edward Burns,60,6,8159,Romantic Comedy
Straight out of Brooklyn,2712293,2712293,NA,450000,Dec 31 1990,NA,NA,NA,NA,NA,NA,NA,100,5.6,263,Other
Spaceballs,38119483,38119483,NA,22700000,Jun 24 1987,NA,NA,MGM,Original Screenplay,Comedy,Science Fiction,Mel Brooks,65,6.9,52434,Comedy
Speed,121248145,283200000,NA,30000000,Jun 10 1994,R,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,90,2.6,4175,Action
Species,60054449,113354449,NA,35000000,Jul 07 1995,R,NA,MGM,Original Screenplay,Action,Science Fiction,Roger Donaldson,39,5.6,21917,Action
Sphinx,2000000,11400000,NA,10000000,Feb 11 1981,NA,NA,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Franklin J. Schaffner,NA,4.9,478,Thriller/Suspense
Spaced Invaders,15000000,15000000,NA,3000000,Apr 27 1990,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Science Fiction,Patrick Read Johnson,9,4.8,1464,Comedy
Spellbound,7000000,7000000,NA,1500000,Dec 31 1944,G,NA,ThinkFilm,NA,NA,NA,Alfred Hitchcock,87,7.7,14665,Other
Splash,62599495,62599495,NA,8000000,Mar 09 1984,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Ron Howard,91,6.2,21732,Comedy
Superman IV: The Quest for Peace,11227824,11227824,NA,17000000,Jul 24 1987,NA,NA,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Sidney J. Furie,NA,3.4,15164,Action
Superman II,108185706,108185706,NA,50000000,Jun 19 1981,NA,NA,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,NA,6.7,29512,Adventure
Superman III,59950623,59950623,NA,39000000,Jun 17 1983,NA,NA,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,NA,23,4.7,18070,Adventure
Sparkler,5494,5494,NA,1000000,Mar 19 1999,R,NA,Strand,NA,NA,NA,NA,17,5.5,320,Other
Superman,134218018,300200000,NA,55000000,Dec 15 1978,PG,NA,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,94,4.9,129,Adventure
The Specialist,57362581,57362581,NA,45000000,Oct 07 1994,R,NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,4,4.9,18749,Action
The Sorcerer,12000000,12000000,NA,21600000,Jun 24 1977,NA,NA,NA,NA,NA,NA,William Friedkin,NA,6.8,563,Other
Sisters in Law,33312,33312,NA,300000,Apr 12 2006,Not Rated,NA,Women Make Movies,Based on Real Life Events,Documentary,Factual,NA,NA,6.7,203,Other
Smilla's Sense of Snow,2221994,2221994,NA,35000000,Feb 28 1997,R,NA,Fox Searchlight,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Bille August,53,6.1,7280,Thriller/Suspense
Assassins,30306268,83306268,NA,50000000,Oct 06 1995,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,9,5.9,23370,Action
Star Trek: The Motion Picture,82258456,139000000,NA,35000000,Dec 07 1979,PG,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,Robert Wise,48,6.2,25454,Adventure
Star Trek III: The Search for Spock,76471046,87000000,NA,18000000,Jun 01 1984,NA,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,NA,6.5,22261,Adventure
Star Trek IV: The Voyage Home,109713132,133000000,NA,24000000,Nov 26 1986,NA,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,NA,7.3,26207,Adventure
Stand by Me,52287414,52287414,NA,8000000,Aug 08 1986,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Rob Reiner,94,8.2,90143,Drama
Stone Cold,9286314,9286314,NA,25000000,May 17 1991,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,NA,29,4.6,52,Action
The Stewardesses,13500000,25000000,NA,200000,Jul 25 1969,NA,NA,NA,NA,NA,NA,NA,NA,4.3,86,Other
Street Fighter,33423000,99423000,NA,35000000,Dec 23 1994,PG-13,NA,Universal,Based on Game,Action,Contemporary Fiction,NA,13,3.3,25407,Action
Star Trek II: The Wrath of Khan,79912963,96800000,NA,12000000,Jun 04 1982,PG,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,NA,NA,7.8,36131,Adventure
Steal (Canadian Release),220944,220944,NA,15000000,Apr 25 2003,Not Rated,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
The Sting,159616327,159616327,NA,5500000,Dec 25 1973,NA,NA,Universal,Original Screenplay,NA,Historical Fiction,George Roy Hill,91,8.4,65866,Other
Stonewall,304602,304602,NA,2000000,Jul 26 1996,R,99,Strand,Based on Real Life Events,Drama,Dramatization,NA,NA,7,741,Drama
Star Trek V: The Final Frontier,52210049,70200000,NA,30000000,Jun 09 1989,NA,NA,Paramount Pictures,Based on TV,Action,Science Fiction,NA,NA,5,20600,Action
Star Trek VI: The Undiscovered Country,74888996,96900000,NA,27000000,Dec 06 1991,NA,NA,Paramount Pictures,Based on TV,Action,Science Fiction,NA,NA,7.2,23546,Action
Star Trek: Generations,75671262,120000000,NA,38000000,Nov 18 1994,PG,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,NA,NA,6.5,26465,Adventure
Stripes,85300000,85300000,NA,10000000,Jun 26 1981,R,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,88,6.8,19618,Comedy
Striptease,32773011,32773011,NA,50000000,Jun 28 1996,R,115,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Andrew Bergman,12,3.9,18012,Comedy
Star Wars Ep. IV: A New Hope,460998007,797900000,11182540,11000000,May 25 1977,PG,NA,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,NA,NA,NA,Adventure
Saints and Soldiers,1310470,1310470,NA,780000,Aug 06 2004,PG-13,90,Excel Entertainment,Based on Real Life Events,Drama,Dramatization,Ryan Little,NA,7,7581,Drama
Steppin: The Movie,0,0,NA,1000000,Dec 31 2007,NA,NA,Weinstein Co.,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,3.3,108,Comedy
Strangers on a Train,7000000,7000000,NA,1200000,Jul 03 1951,PG,NA,Warner Bros.,NA,NA,NA,Alfred Hitchcock,98,8.3,34284,Other
Sugar Hill,18272447,18272447,NA,10000000,Feb 25 1994,R,NA,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,NA,22,5.3,1627,Drama
Stiff Upper Lips,69582,69582,NA,5700000,Aug 27 1999,NA,NA,Cowboy Pictures,NA,NA,NA,NA,29,6.1,543,Other
Shichinin no samurai,271736,271736,NA,500000,Nov 19 1956,NA,NA,Cowboy Pictures,Original Screenplay,Action,Historical Fiction,Akira Kurosawa,NA,8.8,96698,Action
Sweet Charity,8000000,8000000,NA,20000000,Dec 31 1968,NA,NA,NA,NA,NA,NA,Bob Fosse,NA,7,1691,Other
Sands of Iwo Jima,7800000,7800000,NA,1000000,Dec 31 1948,NA,NA,NA,NA,NA,NA,NA,100,7.1,4160,Other
The Spy Who Loved Me,46800000,185400000,NA,14000000,Jul 13 1977,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,NA,78,7.1,24938,Action
The Swindle,245359,5045359,NA,10000000,Dec 25 1998,NA,NA,New Yorker,NA,Comedy,NA,NA,NA,5.2,1417,Comedy
Swingers,4505922,6542637,NA,200000,Oct 18 1996,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Doug Liman,86,6.2,431,Comedy
Snow White and the Seven Dwarfs,184925485,184925485,NA,1488000,Dec 21 2037,NA,NA,Walt Disney Pictures,Traditional/Legend/Fairytale,Musical,Fantasy,NA,97,7.8,38141,Musical
The Sweet Hereafter,4306697,4306697,NA,5000000,Oct 10 1997,R,NA,Fine Line,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,100,7.8,16280,Drama
She Wore a Yellow Ribbon,5400000,5400000,NA,1600000,Dec 31 1948,NA,NA,NA,NA,NA,NA,John Ford,100,7.3,5825,Other
Sex with Strangers,247740,247740,NA,1100000,Feb 22 2002,Not Rated,NA,NA,Based on Real Life Events,Documentary,Factual,NA,39,5,151,Other
Spy Hard,26936265,26936265,NA,18000000,May 24 1996,PG-13,81,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,7,4.7,12682,Comedy
Shi Yue Wei Cheng,0,44195779,NA,23000000,Dec 18 2009,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1795,Other
Tango,1687311,1687311,NA,4500000,Feb 12 1999,PG-13,NA,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,NA,NA,6.9,1490,Drama
The Age of Innocence,32014993,32014993,NA,34000000,Sep 17 1993,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,7.1,16000,Drama
Talk Radio,3468572,3468572,NA,4000000,Dec 01 1988,NA,NA,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Oliver Stone,80,7,5659,Drama
The Texas Chainsaw Massacre,26572439,26572439,NA,140000,Oct 18 1974,R,NA,New Line,NA,Horror,NA,Tobe Hooper,90,6.1,39172,Horror
The Texas Chainsaw Massacre 2,8025872,8025872,NA,4700000,Aug 22 1986,NA,NA,Cannon,Remake,Horror,Contemporary Fiction,Tobe Hooper,43,5.1,7702,Horror
Timecop,44853581,102053581,NA,28000000,Sep 16 1994,R,NA,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,Peter Hyams,47,5.5,16570,Action
Tin Cup,53854588,75854588,NA,45000000,Aug 16 1996,R,105,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ron Shelton,69,6.1,17274,Romantic Comedy
Torn Curtain,13000000,13000000,NA,3000000,Jul 16 1966,NA,NA,NA,NA,NA,NA,Alfred Hitchcock,81,6.6,8670,Other
To Die For,21284514,27688744,NA,20000000,Sep 27 1995,R,NA,Sony Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Gus Van Sant,87,6.8,18459,Other
Terror Train,8000000,8000000,NA,3500000,Dec 31 1979,NA,NA,NA,NA,NA,NA,Roger Spottiswoode,33,5.5,2479,Other
Teen Wolf Too,7888000,7888000,NA,3000000,Nov 20 1987,NA,NA,Atlantic,Original Screenplay,Comedy,Fantasy,NA,14,2.8,5207,Comedy
The Fan,18582965,18582965,NA,55000000,Aug 16 1996,R,117,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Tony Scott,40,5.6,20640,Thriller/Suspense
Timber Falls,0,0,NA,2600000,Dec 07 2007,R,NA,Slowhand Cinema,Original Screenplay,Horror,Contemporary Fiction,NA,38,5.3,2213,Horror
Tae Guik Gi: The Brotherhood of War,1110186,69826708,NA,12500000,Sep 03 2004,R,NA,IDP Distribution,Original Screenplay,Drama,Historical Fiction,NA,NA,NA,NA,Drama
The Incredibly True Adventure of Two Girls in Love,2210408,2477155,NA,250000,Jun 16 1995,R,NA,Fine Line,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.8,1795,Drama
There Goes My Baby,125169,125169,NA,10500000,Sep 02 1994,R,NA,Orion Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,6.3,507,Comedy
Tank Girl,4064333,4064333,NA,25000000,Mar 01 1995,R,NA,MGM,Based on Comic/Graphic Novel,Action,Science Fiction,NA,42,4.7,10772,Action
Top Gun,176786701,353786701,NA,15000000,May 16 1986,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,45,6.5,80013,Action
Thunderball,63600000,141200000,NA,9000000,Dec 29 1965,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,91,7,27245,Action
The Calling,0,0,NA,2500000,Dec 31 2009,NA,NA,NA,NA,NA,NA,NA,NA,3.4,1113,Other
The Craft,24769466,55669466,NA,15000000,May 03 1996,R,100,Sony Pictures,Original Screenplay,Thriller/Suspense,Fantasy,Andrew Fleming,45,5.9,21130,Thriller/Suspense
It Happened One Night,2500000,2500000,NA,325000,Dec 31 1933,NA,NA,NA,NA,Romantic Comedy,NA,Frank Capra,97,8.3,25074,Romantic Comedy
The Net,50621733,110521733,NA,22000000,Jul 28 1995,PG-13,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,NA,33,5.6,24363,Thriller/Suspense
La otra conquista,886410,886410,NA,3500000,Apr 19 2000,R,NA,Hombre de Oro,Original Screenplay,Drama,Historical Fiction,NA,NA,6.1,584,Drama
The Journey,19800,19800,NA,500000,Jul 11 2003,Not Rated,NA,NA,NA,NA,NA,NA,NA,4.4,74,Other
They Live,13000000,13000000,NA,4000000,Nov 04 1988,NA,NA,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,John Carpenter,88,7,20995,Thriller/Suspense
Tales from the Hood,11784569,11784569,NA,6000000,May 24 1995,R,NA,Savoy,Original Screenplay,Horror,Contemporary Fiction,NA,33,5.8,1860,Horror
Time Bandits,37400000,37400000,NA,12000000,Nov 06 1981,NA,NA,Avco Embassy,Original Screenplay,Adventure,Fantasy,Terry Gilliam,94,6.9,22719,Adventure
Tombstone,56505000,56505000,NA,25000000,Dec 25 1993,R,NA,Walt Disney Pictures,Based on Real Life Events,Western,Dramatization,George P. Cosmatos,77,7.7,43688,Other
Time Changer,1500711,1500711,NA,825000,Oct 25 2002,PG,NA,Five & Two Pictures,Original Screenplay,Drama,Fantasy,NA,22,5,1029,Drama
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813,78656813,NA,25000000,Mar 22 1991,NA,NA,New Line,Based on Comic/Graphic Novel,Adventure,Fantasy,NA,NA,5.3,12742,Adventure
Teenage Mutant Ninja Turtles III,42273609,42273609,NA,21000000,Mar 19 1993,NA,NA,New Line,Based on Comic/Graphic Novel,Adventure,Fantasy,NA,30,4.3,9064,Adventure
Tango & Cash,63408614,63408614,NA,55000000,Dec 22 1989,NA,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrei Konchalovsky,39,5.8,25248,Action
Teenage Mutant Ninja Turtles,135265915,202000000,NA,13500000,Mar 30 1990,NA,NA,New Line,Based on TV,Adventure,Fantasy,Steve Barron,NA,6.4,25867,Adventure
Topaz,6000000,6000000,NA,4000000,Dec 19 1969,NA,NA,Universal,NA,NA,NA,Alfred Hitchcock,71,6.2,6389,Other
Taps,35856053,35856053,NA,14000000,Dec 09 1981,NA,NA,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Harold Becker,79,6.5,6515,Drama
Trainspotting,16501785,24000785,NA,3100000,Jul 19 1996,R,94,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Danny Boyle,89,8.2,150483,Drama
The Train,6800000,6800000,NA,5800000,Mar 07 1965,NA,NA,NA,NA,NA,NA,John Frankenheimer,83,7.8,4692,Other
Troop Beverly Hills,7190505,7190505,NA,18000000,Mar 22 1989,NA,NA,Sony/Columbia,Original Screenplay,Comedy,Contemporary Fiction,NA,8,4.7,3427,Comedy
Trekkies,617172,617172,NA,375000,May 21 1999,PG,NA,Paramount Pictures,Based on Real Life Events,Documentary,Factual,NA,NA,6.9,3004,Other
True Lies,146282411,365300000,NA,100000000,Jul 15 1994,R,NA,20th Century Fox,Remake,Action,Contemporary Fiction,James Cameron,69,7.2,80581,Action
Terminator 2: Judgment Day,204859496,516816151,NA,100000000,Jul 02 1991,R,NA,Sony Pictures,Original Screenplay,Action,Science Fiction,James Cameron,98,8.5,237477,Action
Travellers and Magicians,506793,1058893,NA,1800000,Jan 07 2005,Not Rated,NA,Zeitgeist,Original Screenplay,Drama,NA,NA,NA,7.4,1069,Drama
